,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Bremer,WAVERLY WARD I/E WASHINGTON TWP,0,0.2267,0.0,0.68,0,0.0,0.4533,0,0.2267,0.0,0.4533,0.0,0.0,0.0
Bremer,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,0,0.0,0.0,0.4533,0,0.0,0.4533,0,0.2267,0.0,0.4533,0.0,0.0,0.0
Bremer,WAVERLY WARD III,0,0.0,0.0,0.4533,0,0.0,0.0,0,0.4533,0.0,0.2267,0.0,0.0,0.0
Bremer,WAVERLY WARD IV,0,0.4533,0.0,0.68,0,0.0,0.2267,0,0.2267,0.0,0.2267,0.0,0.0,0.0
Bremer,WAVERLY WARD V/W WASHINGTON TWP,0,0.2267,0.0,0.68,0,0.0,0.4533,0,0.0,0.0,0.68,0.0,0.0,0.0
Buchanan,Aurora,0,0.4105,0.0,0.1368,0,0.0,0.0,0,0.1368,0.0,0.0,0.0,0.0,0.0
Buchanan,Brandon,0,0.1368,0.0,0.0,0,0.0,0.1368,0,0.1368,0.0,0.1368,0.0,0.0,0.0
Buchanan,Fairbank,0,0.2737,0.0,0.1368,0,0.0,0.0,0,0.1368,0.0,0.1368,0.0,0.0,0.0
Buchanan,Hazleton,0,0.1368,0.0,0.0,0,0.0,0.2737,0,0.1368,0.0,0.0,0.0,0.0,0.0
Buchanan,Independence 1st Ward,0,0.5474,0.0,0.6842,0,0.0,0.4105,0,0.0,0.0,0.0,0.0,0.0,0.0
Buchanan,Independence 2nd Ward,0,0.4105,0.0,0.0,0,0.0,0.1368,0,0.1368,0.0,0.0,0.0,0.0,0.0
Buchanan,Independence 3rd Ward,0,0.4105,0.0,0.2737,0,0.0,0.0,0,0.0,0.0,0.2737,0.0,0.0,0.2737
Buchanan,Independence 4th Ward,0,0.2737,0.0,0.0,0,0.0,0.1368,0,0.1368,0.0,0.0,0.0,0.0,0.2737
Buchanan,Independence 5th Ward,0,0.2737,0.0,0.2737,0,0.0,0.0,0,0.1368,0.1368,0.0,0.0,0.0,0.0
