County,Precinct,Precinct Short Name,County Delegates,Precinct SDE (IDP)
Dickinson,Precinct No. 09,PCT 09,1,0.125
Dickinson,Precinct No. 10-City-Wahpeton-W Okoboji,PCT 10,4,0.5
Dickinson,Precinct No. 11,PCT 11,6,0.75
Dickinson,Precinct No. 12,PCT 12,4,0.5
Dickinson,Precinct No. 13,PCT 13,6,0.75
Dickinson,Precinct No. 14,PCT 14,4,0.5
Dickinson,Precinct No. 15,PCT 15,13,1.625
Dubuque,Dubuque_09a,09A,8,2.1333333333333333
Dubuque,Dubuque_01,1,10,2.6666666666666665
Dubuque,Dubuque_10,10,11,2.933333333333333
Dubuque,Dubuque_11,11,8,2.1333333333333333
Dubuque,Dubuque_12,12,10,2.6666666666666665
Dubuque,Dubuque_13,13,7,1.8666666666666667
Dubuque,Dubuque_14,14,6,1.6
Dubuque,Dubuque_15,15,8,2.1333333333333333
Dubuque,Dubuque_16,16,5,1.3333333333333333
Dubuque,Dubuque_17,17,5,1.3333333333333333
Dubuque,Dubuque_18,18,7,1.8666666666666667
Dubuque,Dubuque_19,19,10,2.6666666666666665
Dubuque,Dubuque_02,2,12,3.2
Dubuque,Dubuque_20,20,11,2.933333333333333
Dubuque,Dubuque_03,3,7,1.8666666666666667
Dubuque,Dubuque_31,31,11,2.933333333333333
Dubuque,Dubuque_32,32,10,2.6666666666666665
Dubuque,Dubuque_33,33,7,1.8666666666666667
Dubuque,Dubuque_34,34,10,2.6666666666666665
Dubuque,Dubuque_35,35,4,1.0666666666666669
Dubuque,Dubuque_36,36,7,1.8666666666666667
Dubuque,Dubuque_37,37,3,0.8
Dubuque,Dubuque_38,38,3,0.8
Dubuque,Dubuque_39,39,5,1.3333333333333333
Dubuque,Dubuque_04,4,12,3.2
Dubuque,Dubuque_40,40,4,1.0666666666666669
Dubuque,Dubuque_41,41,7,1.8666666666666667
Dubuque,Dubuque_42,42,7,1.8666666666666667
Dubuque,Dubuque_43,43,9,2.4
Dubuque,Dubuque_44,44,1,0.26666666666666666
Dubuque,Dubuque_45,45,6,1.6
Dubuque,Dubuque_05,5,11,2.933333333333333
Dubuque,Dubuque_06,6,9,2.4
Dubuque,Dubuque_07,7,12,3.2
Dubuque,Dubuque_08,8,7,1.8666666666666667
Emmet,AG-IL-Armstrong,1,4,0.4571428571428571
Emmet,Estherville Ward 5,10,3,0.3428571428571429
Emmet,HL-TM-Wallingford,11,2,0.22857142857142854
Emmet,CN-SL-Gruver,2,1,0.11428571428571427
Emmet,DM-JC-Ringsted,3,2,0.22857142857142854
Emmet,EL-LN-Dolliver,4,1,0.11428571428571427
Emmet,Emmet-Estherville,5,2,0.22857142857142854
Emmet,Estherville Ward 1,6,5,0.5714285714285714
Emmet,Estherville Ward 2,7,5,0.5714285714285714
Emmet,Estherville Ward 3,8,6,0.6857142857142857
Emmet,Estherville Ward 4,9,4,0.4571428571428571
Fayette,AUBURN TWP,AU,2,0.24
Fayette,BANKS-FREMONT TWP,BF,4,0.48
Fayette,BETHEL-WINDSOR TWP,BW,4,0.48
Fayette,CENTER TWP,CE,1,0.12
Fayette,CLERMONT TWP,CL,4,0.48
