,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,SDE
Linn,Fayette,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Grant,0,0.4395,0.0,0.0,0,0.0,0.4395,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Hiawatha 3,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Hiawatha4,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
Linn,Jackson,0,0.0,0.0,0.4395,0,0.0,0.0,0,0.0,0.0,0.4395,0.0,0.0,0.0,True
Linn,Maine,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Marion 04,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.4395,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 06,0,0.8791,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 07,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 08,0,0.4395,0.0,0.4395,0,0.0,0.4395,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 09,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 10,0,0.4395,0.0,0.4395,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
Linn,Marion 12,0,0.0,0.0,0.4395,0,0.0,0.4395,0,0.4395,0.0,0.0,0.0,0.0,0.0,True
Linn,Marion 13,0,0.4395,0.0,0.8791,0,0.0,0.0,0,0.8791,0.0,0.4395,0.0,0.0,0.0,True
